label,angry,bored,disgust,happy,sad,shy,stressed,surprised
shy,0.00,0.17,0.00,0.00,0.01,0.43,0.40,0.00
shy,0.00,0.00,0.00,0.00,0.01,0.82,0.17,0.00
shy,0.00,0.00,0.00,0.00,0.00,0.94,0.06,0.00
shy,0.00,0.00,0.00,0.00,0.00,0.88,0.11,0.00
shy,0.00,0.00,0.00,0.00,0.00,0.96,0.04,0.00
shy,0.00,0.00,0.00,0.00,0.00,0.98,0.02,0.00
shy,0.00,0.00,0.02,0.01,0.01,0.79,0.17,0.00
shy,0.00,0.00,0.04,0.00,0.00,0.49,0.46,0.00
stressed,0.00,0.01,0.04,0.00,0.00,0.06,0.89,0.00
stressed,0.00,0.00,0.04,0.00,0.00,0.01,0.95,0.00
stressed,0.00,0.00,0.23,0.00,0.00,0.00,0.77,0.00
stressed,0.00,0.00,0.49,0.00,0.00,0.00,0.50,0.00
stressed,0.00,0.00,0.21,0.00,0.00,0.00,0.79,0.00
stressed,0.00,0.00,0.21,0.00,0.00,0.00,0.79,0.00
stressed,0.00,0.00,0.20,0.00,0.00,0.00,0.80,0.00
stressed,0.00,0.00,0.22,0.00,0.00,0.00,0.77,0.00
stressed,0.00,0.00,0.31,0.00,0.00,0.00,0.68,0.00
happy,0.00,0.07,0.00,0.87,0.00,0.00,0.04,0.01
surprised,0.00,0.00,0.05,0.00,0.03,0.01,0.38,0.52
surprised,0.00,0.00,0.00,0.00,0.31,0.02,0.16,0.51
sad,0.00,0.00,0.00,0.00,0.60,0.03,0.25,0.12
sad,0.00,0.06,0.00,0.00,0.75,0.03,0.16,0.00
bored,0.00,0.72,0.00,0.00,0.12,0.00,0.16,0.00
bored,0.00,0.82,0.00,0.00,0.04,0.00,0.14,0.00
bored,0.00,0.95,0.00,0.00,0.00,0.00,0.05,0.00
bored,0.00,0.94,0.00,0.00,0.03,0.00,0.03,0.00
sad,0.11,0.07,0.00,0.15,0.66,0.00,0.01,0.00
sad,0.09,0.02,0.00,0.05,0.84,0.00,0.00,0.00
bored,0.01,0.90,0.00,0.00,0.09,0.00,0.00,0.00
bored,0.01,0.94,0.00,0.00,0.06,0.00,0.00,0.00
bored,0.00,0.98,0.00,0.00,0.02,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,0.51,0.00,0.01,0.47,0.00,0.01,0.00
sad,0.00,0.40,0.00,0.00,0.59,0.00,0.01,0.00
bored,0.00,0.98,0.00,0.00,0.02,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
bored,0.00,0.46,0.00,0.09,0.45,0.00,0.00,0.00
happy,0.00,0.27,0.00,0.57,0.15,0.00,0.01,0.00
bored,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
happy,0.00,0.01,0.00,0.91,0.09,0.00,0.00,0.00
happy,0.00,0.01,0.00,0.73,0.26,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.93,0.06,0.00,0.00,0.00
bored,0.00,0.85,0.15,0.00,0.00,0.00,0.01,0.00
happy,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.05,0.94,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
sad,0.00,0.00,0.01,0.01,0.97,0.01,0.00,0.00
sad,0.00,0.00,0.04,0.22,0.64,0.10,0.00,0.00
sad,0.00,0.00,0.03,0.05,0.87,0.05,0.00,0.00
sad,0.00,0.00,0.03,0.09,0.81,0.08,0.00,0.00
sad,0.00,0.00,0.17,0.01,0.78,0.03,0.00,0.00
sad,0.00,0.00,0.13,0.00,0.86,0.01,0.00,0.00
sad,0.00,0.00,0.08,0.00,0.92,0.00,0.00,0.00
sad,0.00,0.00,0.06,0.00,0.94,0.00,0.00,0.00
disgust,0.01,0.00,0.51,0.01,0.47,0.00,0.00,0.00
disgust,0.02,0.00,0.69,0.02,0.25,0.00,0.00,0.00
